zgbh,icid
49792     ,2026950479
756298    ,0948454586
756628    ,1810455978
757047    ,2012384155
757998    ,2511523339
1313107   ,2673472507
1317084   ,3537261390
1317363   ,0759611002
1319123   ,0042037623
874233    ,4034895217
1972363   ,2062653840
803857    ,2010050603
804731    ,2514288875
1960336   ,2627117568
1963462   ,3528821918
1966385   ,0066743911
1967828   ,4137728350
1969221   ,2064872464
1969369   ,3251495827
840815    ,1580005696
843902    ,2505062544
844396    ,0768282151
1366970   ,3740044379
1371312   ,1786774347
1954710   ,2061037440
1955931   ,2674022395
1955965   ,2063697936
815040    ,2063269952
881571    ,2624019536
1286089   ,1767232347
1289270   ,2055998784
1359482   ,2070293296
1363201   ,2061702928
1365575   ,          
832026    ,0486507403
833174    ,2976209953
54153     ,1706632263
773020    ,0949265562
852053    ,1779962235
894865    ,3742808721
1332824   ,0868886379
1340236   ,2675586731
756194    ,3740316987
757970    ,0959274053
825894    ,2605164811
901807    ,4129983326
1311875   ,2672722523
1313113   ,2673678203
1319154   ,2069563952
1322521   ,1768055595
1972301   ,0479875755
1972339   ,1057624535
3053      ,2065860320
809791    ,1575653764
1301608   ,4140905246
1301772   ,2669729723
1310115   ,1771171083
1961411   ,2061193808
1961956   ,1767044331
1962249   ,2048251472
1962427   ,1770576763
1966301   ,2054371152
1966310   ,3207942418
1966777   ,0770069783
1966779   ,2064472528
1967244   ,0066864823
1967336   ,2051220560
1967361   ,2066964544
1270004   ,0868507019
1281054   ,0312751514
840999    ,1800604250
A9057     ,4195544606
1300912   ,2673781883
1367275   ,0161780720
1369117   ,1768761835
1957575   ,0969162475
881481    ,1809165338
881532    ,3741607025
891097    ,0779834759
1282714   ,2049148112
1283159   ,0087683252
1285500   ,2054057856
1285534   ,2674165083
1290246   ,1763247179
1365591   ,          
833288    ,1762126602
834480    ,1739899005
1970205   ,2065807712
895024    ,2975576513
897325    ,3529331534
1339718   ,0762190842
1341112   ,2069400256
1341609   ,2060202784
47728     ,1016245538
52043     ,2768349788
760244    ,1359365482
901572    ,3250808611
34483     ,1074496060
872425    ,3547173701
1325792   ,0869879563
1330170   ,1897207277
1330577   ,0873568187
27539     ,2675542618
810213    ,0065234231
1302416   ,4134969662
1304362   ,3251533555
1306700   ,2672184731
1309519   ,2624019168
1958617   ,0769782727
1961757   ,4131064110
1961771   ,3732093582
1961839   ,1788500635
1961953   ,2062097264
1962003   ,2069568976
1962376   ,0311607786
1966441   ,2068489344
1967319   ,0067088343
1967320   ,0065311255
794450    ,0761813239
843203    ,0066360919
843456    ,2658210068
1293607   ,0769795367
1295360   ,2672504059
1300812   ,3731077598
1367149   ,2066180080
1955933   ,2066573872
881482    ,4035400561
882330    ,0332378897
889514    ,3527936110
890596    ,1977511825
1282601   ,4129122974
1355949   ,1578684672
1301626   ,1781893627
1301957   ,1781540235
1301987   ,2626981568
1303950   ,1269426969
1305427   ,2067411728
1306123   ,2672130171
1307137   ,2674132155
1310201   ,3285176945
1961469   ,2580007335
1962306   ,1781359771
1962898   ,2069247840
1963571   ,0874339371
1963840   ,1057986743
1964006   ,0778095399
1964202   ,4129479374
1964669   ,0778390887
1964671   ,0777733207
1964765   ,0778280311
1965793   ,1579861936
1966196   ,0036564144
1968057   ,2063415808
1968059   ,2622972896
1968126   ,0774674261
1968371   ,2626691056
1968778   ,2579848695
1968780   ,2673343835
1969225   ,0066691879
1969386   ,0777941623
1969696   ,0777690487
1969709   ,2066656576
1969711   ,0779577655
1969713   ,0778677303
1969902   ,1762310059
1970002   ,0779886551
1970040   ,0967644507
06724     ,0768102903
847410    ,4128927806
1300516   ,2671809643
1300531   ,0778154535
1367255   ,2626366752
1367289   ,1783030731
1368056   ,1782887451
1371315   ,2067109088
1954792   ,2946520834
1957048   ,0760679834
1957419   ,0869318331
815851    ,1350406938
881622    ,1811120090
881803    ,2621580000
881823    ,3528842910
888816    ,1269283945
889804    ,1322302759
890378    ,2472219872
891737    ,4027445665
891754    ,2472578752
892245    ,2658011844
1290260   ,2672065099
1354454   ,2061725904
1359136   ,3732010398
1362181   ,2066690448
1362419   ,0873640379
1362421   ,2054724432
1362728   ,3535817470
770836    ,3740148283
C8618     ,2069532576
1343940   ,0873953835
1350589   ,2066650576
1350604   ,2069136272
1351912   ,2061689728
52404     ,3549388965
53722     ,3437491389
851515    ,0673473789
854827    ,2063612432
1970168   ,2582561943
1970170   ,0968207723
1970251   ,2065987888
1970268   ,3542680629
1970270   ,2671869099
892552    ,2113580372
892745    ,2946326338
895419    ,2504959984
896438    ,1762816554
896642    ,3207705954
897039    ,1786995515
897107    ,1797904362
897120    ,4129506446
897226    ,3304437482
899513    ,1798865385
133274    ,1762626634
1341003   ,2064356544
52187     ,3740042187
756312    ,3532431246
757778    ,2944734434
823453    ,2605131259
902882    ,4129190334
905927    ,3251590611
1312355   ,0311358986
1312829   ,2673741323
1315611   ,1111974590
1316458   ,0762058522
1317300   ,0768828711
32901     ,4134243466
871437    ,3738819451
1322043   ,1768652827
805452    ,2582041031
812128    ,2625857584
862205    ,0960667269
869450    ,0787239237
869531    ,0948598250
1302201   ,4138205998
1302578   ,2063932656
1302955   ,4138332526
1303770   ,4137914430
1309539   ,2669928315
1310018   ,2755377114
1960497   ,4128951790
1960975   ,0768996167
1961408   ,2068005968
1963011   ,3783110532
1964634   ,0779293831
1964673   ,0778571623
1964728   ,0065587399
1964935   ,2063948544
1965034   ,1606252282
1966336   ,0778135783
1967026   ,0759236602
1967709   ,0758763956
1968309   ,2061939472
1968340   ,0874071851
1968344   ,2674565675
1968358   ,4138775470
1968774   ,2066559696
1969229   ,2065983408
1969249   ,2061464656
1969267   ,0768449239
1969520   ,2062416400
1969706   ,0779472279
04985     ,1438117691
08908     ,1330423092
1280745   ,1798521577
65967     ,4130400318
791566    ,3174850852
843647    ,0959127733
843732    ,3739252561
843983    ,0760434106
1293501   ,2671612123
1293544   ,0313199514
1367491   ,0769272119
1368180   ,0883568683
1371203   ,2062406496
1953532   ,2068881344
812843    ,2061167888
881493    ,1057385255
881619    ,0035207025
881659    ,2505226912
881826    ,0665228205
882398    ,3531856702
888250    ,0065404183
889802    ,3286815713
890521    ,2048141616
1287056   ,3531800766
1355947   ,2069205776
1362028   ,1767607771
1362160   ,2675396347
832323    ,0078067844
839988    ,2658887524
1348263   ,0874700507
1353012   ,2060192528
52346     ,0949191530
53308     ,0875678187
53910     ,1846306327
856927    ,2673520587
859700    ,2062561408
